timestamp,relative_time_sec,experiment_id,run_id,scenario,label,service,pod,namespace,node,cpu_usage,memory_usage_mb,restart_count,request_rate,error_rate,avg_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,throughput,http_2xx_rate,http_4xx_rate,http_5xx_rate,network_receive_bytes,network_transmit_bytes,fault_type,fault_service,fault_start_time,fault_end_time,fault_phase,anomaly_score,prediction
2026-06-09 14:00:00,0,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3681,41.8216,0,247.4882,0.001544,9.6205,7.6278,13.9532,19.254,23.8313,247.2213,247.1061,0.3174,0.0646,277182.1658,164067.1688,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.16974464,0
2026-06-09 14:00:05,5,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3714,41.3158,0,253.6277,0.00149,10.3322,7.3195,16.0808,18.1238,28.5971,253.4424,253.2497,0.3537,0.0243,261358.6958,237394.0467,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.4161273,0
2026-06-09 14:00:10,10,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3717,42.5582,0,247.1573,0.000922,9.9943,7.3679,15.3981,20.2836,25.4152,247.0422,246.9294,0.1874,0.0405,282952.8487,163296.2031,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.037310354,0
2026-06-09 14:00:15,15,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3545,42.2756,0,253.617,0.001296,10.3809,7.7018,16.6867,19.7442,28.6047,253.4666,253.2882,0.2519,0.0768,291568.3283,204518.5098,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.96566486,1
2026-06-09 14:00:20,20,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3851,42.6559,0,251.2727,0.001801,9.9979,7.5142,15.5946,20.2711,24.9425,250.9562,250.8201,0.3982,0.0544,282588.8742,212654.6514,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.16309914,0
2026-06-09 14:00:25,25,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3701,41.1145,0,250.4845,0.000929,9.7432,7.1008,15.3745,18.1485,25.8197,250.3732,250.2518,0.2027,0.03,241392.5954,208255.2132,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.069083884,0
2026-06-09 14:00:30,30,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.378,41.391,0,263.911,0.001571,9.3893,7.4432,14.002,18.0444,25.7109,263.7249,263.4964,0.3833,0.0312,325891.4244,177031.3352,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.70140624,1
2026-06-09 14:00:35,35,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3791,41.1226,0,252.688,0.001195,10.3489,8.2158,15.0654,19.8103,24.663,252.5076,252.386,0.2243,0.0777,273109.3177,220273.916,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.1696212,0
2026-06-09 14:00:40,40,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.3761,41.7474,0,251.3039,0.000786,10.1085,7.425,16.3734,17.7169,28.3433,251.2289,251.1065,0.183,0.0144,207460.9411,191727.4191,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.0352534,0
2026-06-09 14:00:45,45,EXP_FAULT_01,RUN_01,pod_kill,1,cartservice,cart-f01-02,online-boutique,node-c,0.4119,41.9553,0,252.6816,0.000768,10.2011,7.375,16.0489,19.637,27.0676,252.583,252.4874,0.193,0.0011,213537.2566,219479.2329,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.63393766,0
