timestamp,relative_time_sec,experiment_id,run_id,scenario,label,service,pod,namespace,node,cpu_usage,memory_usage_mb,restart_count,request_rate,error_rate,avg_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,throughput,http_2xx_rate,http_4xx_rate,http_5xx_rate,network_receive_bytes,network_transmit_bytes,fault_type,fault_service,fault_start_time,fault_end_time,fault_phase
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,frontend,frontend-n01-00,online-boutique,node-a,0.7606,82.8607,0,490.8198,0.000666,19.4432,14.8864,29.8921,36.7469,53.7968,490.699,490.4927,0.2361,0.091,552995.5197,381810.8006,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,checkoutservice,checkout-n01-01,online-boutique,node-b,0.4668,35.3171,0,142.2014,0.000592,51.3969,39.7252,84.7701,91.6693,125.8075,142.1509,142.1172,0.0367,0.0474,181385.2721,128101.8994,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,cartservice,cart-n01-02,online-boutique,node-c,0.3618,42.0634,0,238.9103,0.001685,9.5717,6.8352,15.4727,18.2925,23.3975,238.7032,238.5077,0.3757,0.027,305107.348,193226.1429,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,productcatalogservice,productcatalog-n01-03,online-boutique,node-a,0.5322,54.2049,0,323.3151,0.000816,6.6863,5.4068,11.2049,12.5659,17.0673,323.1274,323.0511,0.2313,0.0327,348234.4454,228397.1632,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,recommendationservice,recommendation-n01-04,online-boutique,node-b,0.4012,30.9412,0,130.3342,0.000497,22.3278,18.2106,32.8449,40.844,58.5653,130.2969,130.2694,0.0442,0.0206,109960.7366,122899.9697,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,shippingservice,shipping-n01-05,online-boutique,node-c,0.2752,21.8268,0,108.5301,0.000923,37.2482,27.4793,62.0802,74.823,96.9997,108.4879,108.4299,0.0721,0.0281,109781.8115,107825.8262,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,currencyservice,currency-n01-06,online-boutique,node-a,0.2233,28.6885,0,176.1158,0.000561,4.1569,3.2091,6.2966,7.6214,9.914,176.0636,176.0171,0.0503,0.0484,160001.6281,125970.0913,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,paymentservice,payment-n01-07,online-boutique,node-b,0.2701,23.8418,0,129.5825,0.000811,60.2224,47.8486,98.8673,113.4473,153.3211,129.5069,129.4773,0.0872,0.0179,143485.0891,114555.2402,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,emailservice,email-n01-08,online-boutique,node-c,0.1516,18.927,0,70.917,0.001058,54.6713,38.6353,85.4572,102.6665,151.137,70.864,70.842,0.0564,0.0186,71485.6372,63651.2292,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,adservice,ad-n01-09,online-boutique,node-a,0.2997,26.6577,0,93.2249,0.001079,34.2215,27.2893,51.4408,68.855,96.6472,93.1757,93.1243,0.0941,0.0065,83853.985,94447.4684,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,redis-cart,redis-cart-n01-10,online-boutique,node-b,0.4195,66.3195,0,211.7714,0.00128,2.2724,1.6315,3.4624,4.5077,6.1407,211.6634,211.5004,0.2195,0.0515,270024.1195,178281.2095,none,none,none,none,normal
2026-06-09 09:00:00,0,EXP_NORMAL_01,RUN_01,normal_traffic,0,loadgenerator,loadgenerator-n01-11,online-boutique,node-c,0.2806,46.169,0,451.4146,0.001253,4.9191,3.9534,8.3182,9.7222,13.4373,451.0481,450.8489,0.5506,0.0152,407616.874,410170.5247,none,none,none,none,normal
